Aken ,carries souls to the afterlife
Ammit (Ammut) ,Devourer of souls
Amun (Amun),Sun/air god
Anhur (Han),War god
Anubis ,death god
Apep (Apophis) ,Chaos incarnate
Atum (Ra) ,sun god
Ba'al ,storm god
Bastet (Bast) ,cat god
Bes,Dwarf god
Denwen ,god destroying serpent
Fetket ," The butler of the sun god Ra who served him his drinks, patron god of bartenders."
Forty Two Judges,judging the souls of the dead in the afterlife 
Canopic Jars of Neskhons,"Qebhsenuef, Duamutef, Hapy , Imsety "
Geb ,God of the earth
Horus ,Falcon god
Iah (Yah) ,Moon god
Iabet ,fertility and rebirth
Ihy ,music and joy
Isis ,mother of the gods
Iusaaset ,grandmother of the gods
Kabechet (Kebehwet or Qebhet) ,daugher of Anubis (funeral deity)
Kek and Kauket ,gods of obscurity and night
Khenmu (Khnum) ,patron god of potters
"Khonsu (Kons, Chonsu, Khensu, or Chons) ",god of healing
"Maahes (Mahes, Mihos, or Mysis) ",protector of the innocent
Ma'at ,Truth Godess
Mehet,ancient sky godess associated with fertility
Mekhit ,godess of war
Merit ,godess of music
Meskhenet ,godess of childbirth
Nefertum (Nefertem) , God of perfume and sweet aromas
Neper ,god of grains
Nu,father of the gods
Onuris,god of war and hunting
Osiris , Lord and judge of the dead
Pakhet ,hunting godess
Ra,Supreme sun god
Renpet , A goddess who personified the year.
Renenutet (Renenet or Ernutet) ,nursing and rearing children
Ruty , The twin lion gods who represented the eastern and western horizons.
Sekhmet ,godess of destruction and healing
Sepa ,god worshipped as the deity who protected one from snake bites
Set (Seth) ," God of war, chaos, storms, and pestilence. "
Shay (Shai) , The personification of fate. 
Shed , A protective god who guarded against personal harm from wild animals or mortal enemies.
Shezmu ," God of wine and, later, of perfume and plenty who personified the positive and negative aspects of drunkenness."
Shu ," The primordial god of the air whose name means ""Emptiness"". "
Sobek , God of water but also associated with medicine and particularly surgery.
Tenenit (Tenenet or Tjenenet) ," Goddess of beer, brewing and childbirth."
Tutu ," A protective god known as ""He Who Keeps Enemies at a Distance"""
